Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2013 Nissan Sunny,83491,Diesel,Manual,UP-81,₹2.05L₹1.81 lakh+ other charges,₹4.50 lakh," Metro Walk, Rohini, New Delhi"
2018 Mahindra XUV500,150809,Diesel,Manual,UP-81,"EMI ₹3,982/m*",₹5.61 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2018 Maruti Swift,202705,Petrol,Manual,UP-70,₹1.85L₹1.79 lakh+ other charges,₹2.60 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Maruti Swift Dzire,162094,Diesel,Manual,UP-81,"EMI ₹4,555/m*",₹5.58 lakh," Wave One Mall, Sec-18, Noida"
2012 Hyundai i10,182606,CNG,Manual,UP-81,₹2.57L₹2.33 lakh+ other charges,₹2.11 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2013 Nissan Sunny,138053,Diesel,Manual,UP-79,"EMI ₹12,796/m*",₹2.62 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2013 Maruti Alto K10,138289,Petrol,Manual,UP-81,₹7.25 lakh+ other charges,₹4.42 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2012 Renault Duster,157516,Diesel,Manual,HR-51,"EMI ₹5,559/m*",₹3.54 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2019 Mahindra MARAZZO,161725,Diesel,Manual,UP-83,₹3.15 lakh+ other charges,₹4.61 lakh," Metro Walk, Rohini, New Delhi"
2019 Honda Amaze,84691,Petrol,Manual,UP-80,"EMI ₹13,580/m*",₹4.14 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2022 Tata PUNCH,38856,Petrol,Manual,UP-80,₹7.93L₹7.69 lakh+ other charges,₹3.59 lakh," Metro Walk, Rohini, New Delhi"
2014 Ford Ecosport,112193,Diesel,Manual,UP-80,"EMI ₹5,474/m*",₹4.91 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2017 Maruti Vitara Brezza,80374,Diesel,Manual,UP-80,₹3.11L₹2.80 lakh+ other charges,₹7.77 lakh," Metro Walk, Rohini, New Delhi"
2011 Maruti Alto K10,81210,Petrol,Manual,UP-80,"EMI ₹4,886/m*",₹1.91 lakh," Metro Walk, Rohini, New Delhi"
2023 Maruti New Wagon-R,100080,Petrol,Manual,UP-80,₹2.70L₹2.50 lakh+ other charges,₹5.21 lakh, DLF South Court Saket
2022 KIA SONET,141215,Petrol,Manual,UP-80,"EMI ₹8,209/m*",₹3.65 lakh," Udyog Vihar, Sector 18, Gurgaon"
2021 Maruti Swift,62963,CNG,Manual,UP-80,₹4.86L₹4.65 lakh+ other charges,₹2.27 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Renault Kwid,86916,Petrol,Manual,UP-80,"EMI ₹4,673/m*",₹8.08 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2016 Maruti Swift,65394,Petrol,Manual,UP-80,₹2.65 lakh+ other charges,Account ," M3M Urbana, Golf Course Ext., Gurugram"
2018 Renault Kwid,62282,Petrol,Manual,UP-80,"EMI ₹8,120/m*",₹1.20 lakh, Panchwati Colony Palwal Haryana
2017 Hyundai Creta,70830,Petrol,Manual,UP-81,₹5.33L₹4.60 lakh+ other charges,₹9.80 lakh, Shyam Nagar Palwal Haryana
2015 Maruti Swift Dzire,71073,Petrol,Manual,UP-80,"EMI ₹8,826/m*",₹2.00 lakh, Panchwati Colony Palwal Haryana
2018 Hyundai Grand i10,49829,Petrol,Manual,BR-10,₹5.64L₹5.00 lakh+ other charges,₹4.50 lakh, agarsen vihar old GT road Palwal
2023 Tata PUNCH,76917,CNG,Manual,UP-80,"EMI ₹9,542/m*",₹1.45 lakh, Palwal Palwal Haryana
2019 Renault TRIBER,34499,Petrol,Manual,UP-80,₹4.99L₹2.87 lakh+ other charges,₹5.50 lakh, Shyam Nagar Palwal Haryana
2023 KIA CARENS,60141,Petrol,Manual,UP-80,"EMI ₹2,991/m*",₹3.70 lakh, Kc service station Kc service station Palwal
2016 Toyota Corolla Altis,86275,Petrol,Manual,UP-80,₹2.39L₹1.53 lakh+ other charges,₹3.64 lakh, Camp Market Palwal Haryana
2021 Maruti New Wagon-R,56401,Petrol,Manual,UP-21,"EMI ₹7,452/m*",₹1.30 lakh, Omaxe City 1 Palwal
2024 Tata ALTROZ,61558,CNG,Manual,UP-38,₹3.65L₹3.35 lakh+ other charges,₹1.29 lakh, Shyam Nagar Palwal Haryana
2017 Datsun Redi Go,44038,Petrol,Manual,UK-06,"EMI ₹7,284/m*",₹1.42 lakh, New Colony Palwal Haryana
2023 Toyota URBAN CRUISER HYRYDER,22378,Petrol,Manual,UP-38,₹4.37L₹4.13 lakh+ other charges,₹2.00 lakh, Shiv Colony Palwal
2017 Jeep Compass,74779,Petrol,Manual,UP-14,"EMI ₹7,326/m*",₹5.60 lakh, Ramnagar Palwal Haryana
2016 Maruti Wagon R 1.0,24500,Petrol,Manual,UP-14,₹4.25L₹4.15 lakh+ other charges,₹3.98 lakh, Rock Colony Palwal Haryana
2015 Maruti Alto 800,28140,Petrol,Manual,UP-21,"EMI ₹8,279/m*",₹4.96 lakh, HUDA Sector-2 Palwal
2019 Maruti Swift,49997,Petrol,Manual,UP-81,₹4.89L₹4.69 lakh+ other charges,₹2.50 lakh, Surya society Surya society Palwal
2015 Hyundai i10,39708,Petrol,Manual,UP-95,"EMI ₹4,985/m*",₹4.45 lakh, Rasulpur road KK Gym Harinagar ward no 8 Faridabad
2019 Maruti Swift,58358,CNG,Manual,UP-16,₹2.60L₹2.55 lakh+ other charges,₹1.19 lakh, Shyam Nagar Palwal Haryana
2023 Toyota Glanza,60527,Petrol,Manual,UP-21,"EMI ₹2,879/m*",₹3.75 lakh, Prem Vihar Ward No. 19 Faridabad
2019 Ford FREESTYLE,55165,Diesel,Manual,UP-21,₹2.42L₹1.63 lakh+ other charges,₹7.10 lakh, Jhajjar Jhajjarrural Haryana
2015 Hyundai Eon,43518,Petrol,Manual,UP-40,"EMI ₹10,775/m*",Account , Mini Secretariat Jhajjar Jhajjar Haryana
2022 Maruti Swift,66173,Petrol,Manual,UP-25,₹6.26L₹6.10 lakh+ other charges,Account , Jhajjar Courts Post Office Jhajjar Haryana
2015 Maruti Wagon R 1.0,65974,CNG,Manual,UP-24,"EMI ₹6,055/m*",Account , Mangwaki Mangwaki
2019 Tata NEXON,43084,Petrol,Manual,UP-21,₹3.85L₹3.43 lakh+ other charges,Account , Silani gate Silani gate Jhajjar
2015 Honda Amaze,40807,Petrol,Manual,UP-16,"EMI ₹5,633/m*",Account , Bus Stand Bus Stand Jhajjar
2022 Tata PUNCH,23927,Petrol,Manual,UP-13,₹3.56L₹3.19 lakh+ other charges,Account , Near Bus stand Matanhail Matanhail
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,UP-13,"EMI ₹12,145/m*",Account , 37/T Jhajjarrural Haryana
2019 Maruti Swift,57241,Petrol,Manual,UP-13,₹7.74L₹6.88 lakh+ other charges,Account , Jd hotel Jd hotel Jhajjar
2016 Tata Tiago,79222,Petrol,Manual,UP-14,"EMI ₹8,895/m*",Account , Kirpal Nagar Rohtak
2019 Datsun Redi Go,34061,Petrol,Manual,DL-14,₹5.01L₹4.55 lakh+ other charges,Account , Beri Beri
2019 Maruti Swift,30678,Petrol,Manual,UP-14,"EMI ₹6,920/m*",Account , Bhadana Bhadana Jhajjar
2022 Tata NEXON,48769,Petrol,Manual,UP-13,₹4.00L₹3.92 lakh+ other charges,Account , city mall jhajjar near bhagat singh chowk Jhajjar
2016 Hyundai Elite i20,65503,Petrol,Manual,UP-13,Not available on EMI,Account , Model Town Jhajjar Haryana
2020 Renault TRIBER,42304,Petrol,Manual,UP-16,₹1.34 lakh+ other charges,Account , Near oskar hospital District hospital jhajjar Ghaziabad
2018 Tata Tiago,48065,Petrol,Manual,UP-13,"EMI ₹8,457/m*",Account , Sainipura Mahendragarh
2023 Volkswagen TAIGUN,58195,Petrol,Manual,UP-86,₹5.28L₹4.79 lakh+ other charges,Account , Jhajjar Jhajjarrural Haryana
2015 Honda City,119495,Petrol,Manual,HR-26,"EMI ₹8,175/m*",Account , bus stand Charkhi Dadri
2012 Maruti Wagon R 1.0,116387,CNG,Manual,UP-14,₹4.60L₹3.67 lakh+ other charges,Account , Achhej Achhej
